gameweek,player_name,team,position,predicted_state,actual_state,predicted_xp,actual_points,predicted_xm,actual_minutes,decision_relevance,ledger_category,estimated_point_cost
18,Riccardo Calafiori,ARS,DEFENDER,START,NO_PLAY,3.92,0,61.1,0,STARTER,BOTH,3.9
18,Jurriën Timber,ARS,DEFENDER,START,NO_PLAY,4.7,0,75.8,0,CAPTAIN,BOTH,4.7
18,Declan Rice,ARS,MIDFIELDER,START,START,3.89,5,76.8,90,STARTER,HARMLESS,0.0
18,Antoine Semenyo,BOU,MIDFIELDER,START,START,4.05,9,76.8,90,STARTER,HARMLESS,0.0
18,Bryan Mbeumo,MUN,MIDFIELDER,START,NO_PLAY,3.38,0,51.1,0,BENCH,HARMLESS,0.0
18,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,4.23,5,72.9,90,STARTER,HARMLESS,0.0
18,Marc Cucurella Saseta,CHE,DEFENDER,START,START,3.78,2,76.6,68,STARTER,HARMLESS,0.0
18,Enzo Fernández,CHE,MIDFIELDER,START,START,3.71,1,58.0,90,STARTER,HARMLESS,0.0
18,Jean-Philippe Mateta,CRY,FORWARD,START,START,3.79,2,58.7,90,STARTER,HARMLESS,0.0
18,Nico O'Reilly,MCI,DEFENDER,START,START,3.7,1,76.6,90,STARTER,HARMLESS,0.0
18,Bruno Borges Fernandes,MUN,MIDFIELDER,START,NO_PLAY,4.44,0,59.8,0,STARTER,BOTH,4.4
18,Guglielmo Vicario,TOT,GOALKEEPER,START,START,3.11,7,79.6,90,BENCH,HARMLESS,0.0
18,Pedro Porro Sauceda,TOT,DEFENDER,START,START,2.63,6,76.6,90,AUTOSUB_IN,HARMLESS,0.0
18,Dominic Calvert-Lewin,LEE,FORWARD,START,START,3.57,8,72.6,84,AUTOSUB_IN,HARMLESS,0.0
18,Gianluigi Donnarumma,MCI,GOALKEEPER,START,START,3.55,2,79.6,90,STARTER,HARMLESS,0.0
19,Riccardo Calafiori,ARS,DEFENDER,START,NO_PLAY,3.13,0,44.0,0,BENCH,HARMLESS,0.0
19,Jurriën Timber,ARS,DEFENDER,START,START,3.61,9,51.3,82,STARTER,HARMLESS,0.0
19,Declan Rice,ARS,MIDFIELDER,START,NO_PLAY,3.89,0,76.8,0,STARTER,BOTH,3.9
19,Antoine Semenyo,BOU,MIDFIELDER,START,START,4.12,5,76.2,90,STARTER,HARMLESS,0.0
19,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,4.16,2,72.9,90,STARTER,HARMLESS,0.0
19,Marc Cucurella Saseta,CHE,DEFENDER,START,NO_PLAY,3.68,0,76.5,0,STARTER,BOTH,3.7
19,Enzo Fernández,CHE,MIDFIELDER,START,START,3.59,9,57.8,90,AUTOSUB_IN,HARMLESS,0.0
19,Jean-Philippe Mateta,CRY,FORWARD,START,START,3.75,9,59.8,90,STARTER,HARMLESS,0.0
19,Nico O'Reilly,MCI,DEFENDER,START,START,3.58,1,76.6,56,STARTER,HARMLESS,0.0
19,Bruno Borges Fernandes,MUN,MIDFIELDER,START,NO_PLAY,4.31,0,44.5,0,STARTER,BOTH,4.3
19,Matheus Santos Carneiro da Cunha,MUN,MIDFIELDER,START,START,4.38,2,76.8,90,CAPTAIN,HARMLESS,0.0
19,Guglielmo Vicario,TOT,GOALKEEPER,START,START,3.19,5,79.6,90,BENCH,HARMLESS,0.0
19,Pedro Porro Sauceda,TOT,DEFENDER,START,START,2.71,10,76.6,90,AUTOSUB_IN,HARMLESS,0.0
19,Dominic Calvert-Lewin,LEE,FORWARD,START,SUB,3.47,1,76.6,20,STARTER,PREDICTION_ERROR,2.5
19,Gianluigi Donnarumma,MCI,GOALKEEPER,START,START,3.49,7,79.6,90,STARTER,HARMLESS,0.0
20,Jurriën Timber,ARS,DEFENDER,START,START,3.11,3,61.1,90,STARTER,HARMLESS,0.0
20,Declan Rice,ARS,MIDFIELDER,START,START,2.67,17,51.1,90,BENCH,HARMLESS,0.0
20,Antoine Semenyo,BOU,MIDFIELDER,START,START,4.16,1,76.8,90,CAPTAIN,HARMLESS,0.0
20,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,3.83,17,76.6,90,STARTER,HARMLESS,0.0
20,Marc Cucurella Saseta,CHE,DEFENDER,START,NO_PLAY,1.84,0,54.4,0,BENCH,HARMLESS,0.0
20,Enzo Fernández,CHE,MIDFIELDER,START,START,2.85,11,57.9,90,STARTER,HARMLESS,0.0
20,Jean-Philippe Mateta,CRY,FORWARD,START,START,3.89,2,73.1,86,STARTER,HARMLESS,0.0
20,Nico O'Reilly,MCI,DEFENDER,START,START,3.59,2,63.6,90,STARTER,HARMLESS,0.0
20,Bruno Borges Fernandes,MUN,MIDFIELDER,NO_PLAY,NO_PLAY,1.45,0,0.0,0,BENCH,HARMLESS,0.0
20,Matheus Santos Carneiro da Cunha,MUN,MIDFIELDER,START,START,3.4,9,76.8,90,STARTER,HARMLESS,0.0
20,Guglielmo Vicario,TOT,GOALKEEPER,START,START,4.11,2,79.4,90,STARTER,HARMLESS,0.0
20,Pedro Porro Sauceda,TOT,DEFENDER,START,START,3.81,4,76.5,90,STARTER,HARMLESS,0.0
20,Micky van de Ven,TOT,DEFENDER,START,START,4.06,7,76.4,90,STARTER,HARMLESS,0.0
20,Dominic Calvert-Lewin,LEE,FORWARD,START,START,3.39,2,56.2,90,STARTER,HARMLESS,0.0
20,Gianluigi Donnarumma,MCI,GOALKEEPER,START,START,3.98,2,79.5,90,BENCH,HARMLESS,0.0
21,Jurriën Timber,ARS,DEFENDER,START,START,4.01,6,61.1,90,STARTER,HARMLESS,0.0
21,Declan Rice,ARS,MIDFIELDER,START,START,3.58,3,57.8,90,STARTER,HARMLESS,0.0
